pathway	pancancer	ontology
glucose transmembrane transporter activity	90	Molecular Function
hydroxyisourate hydrolase activity	90	Molecular Function
ATPase-coupled lipid transmembrane transporter activity	89	Molecular Function
D-serine ammonia-lyase activity	89	Molecular Function
galactonate dehydratase activity	89	Molecular Function
pantothenate transmembrane transport	88	Biological Process
pantothenate transmembrane transporter activity	88	Molecular Function
urea transmembrane transport	87	Biological Process
anthranilate synthase activity	87	Molecular Function
exodeoxyribonuclease I activity	87	Molecular Function
urea transmembrane transporter activity	87	Molecular Function
acyl-CoA metabolic process	86	Biological Process
bacillithiol biosynthetic process	86	Biological Process
fatty acid beta-oxidation using acyl-CoA dehydrogenase	86	Biological Process
arginine catabolic process to glutamate	86	Biological Process
arginine catabolic process to succinate	86	Biological Process
glucosidase activity	86	Molecular Function
succinylglutamate desuccinylase activity	86	Molecular Function
asexual sporulation	85	Biological Process
phosphotransferase activity, nitrogenous group as acceptor	85	Molecular Function
toxin transmembrane transporter activity	85	Molecular Function
fucose transmembrane transport	84	Biological Process
fucose transmembrane transporter activity	84	Molecular Function
phosphoglucomutase activity	84	Molecular Function
proline dehydrogenase activity	84	Molecular Function
ribonuclease D activity	84	Molecular Function
cell wall modification	83	Biological Process
copper ion transport	83	Biological Process
L-arabinose catabolic process to xylulose 5-phosphate	83	Biological Process
pyruvate dehydrogenase complex	83	Cellular Component
beta-glucosidase activity	83	Molecular Function
dihydrolipoyllysine-residue acetyltransferase activity	83	Molecular Function
pectinesterase activity	83	Molecular Function
phospholipase C activity	83	Molecular Function
secondary active sulfate transmembrane transporter activity	83	Molecular Function
succinylglutamate-semialdehyde dehydrogenase activity	83	Molecular Function
Steroid degradation	83	KEGG
Brassinosteroid biosynthesis I	83	Metacyc
Brassinosteroid biosynthesis II	83	Metacyc
Coumarin biosynthesis (via 2-coumarate)	83	Metacyc
Firefly bioluminescence	83	Metacyc
Heparan sulfate degradation	83	Metacyc
Linamarin degradation	83	Metacyc
Linustatin bioactivation	83	Metacyc
Lotaustralin degradation	83	Metacyc
Neolinustatin bioactivation	83	Metacyc
Progesterone biosynthesis	83	Metacyc
enterobacterial common antigen biosynthetic process	82	Biological Process
protein stabilization	82	Biological Process
viral release from host cell	82	Biological Process
mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase activity	82	Molecular Function
phosphonoacetaldehyde hydrolase activity	82	Molecular Function
folic acid biosynthetic process	81	Biological Process
aminoglycoside 3-N-acetyltransferase activity	81	Molecular Function
Cyanophycin metabolism	81	Metacyc
Jasmonic acid biosynthesis	81	Metacyc
nitrate transport	80	Biological Process
secretion by the type IV secretion system	80	Biological Process
homocysteine biosynthetic process	80	Biological Process
type IV secretion system complex	80	Cellular Component
microtubule	80	Cellular Component
6-carboxyhexanoate-CoA ligase activity	80	Molecular Function
integrase activity	80	Molecular Function
nitrate transmembrane transporter activity	80	Molecular Function
microtubule binding	80	Molecular Function
nitrile hydratase activity	80	Molecular Function
lipopolysaccharide metabolic process	79	Biological Process
acetoacetyl-CoA reductase activity	79	Molecular Function
Acetyl-coa fermentation to butanoate II	79	Metacyc
cellular carbohydrate metabolic process	78	Biological Process
bacteriochlorophyll biosynthetic process	78	Biological Process
substituted mannan metabolic process	78	Biological Process
mannan endo-1,4-beta-mannosidase activity	78	Molecular Function
10-cis-heptadecenoyl-CoA degradation (yeast)	78	Metacyc
10-trans-heptadecenoyl-CoA degradation (reductase-dependent, yeast)	78	Metacyc
9-cis, 11-trans-octadecadienoyl-CoA degradation (isomerase-dependent, yeast)	78	Metacyc
Activation of PPARGC1A (PGC-1alpha) by phosphorylation	78	Reactome
Glucuronidation	78	Reactome
Lipophagy	78	Reactome
Wax biosynthesis	78	Reactome
aspartate metabolic process	77	Biological Process
DNA replication termination	77	Biological Process
negative regulation of purine nucleobase metabolic process	77	Biological Process
aspartate ammonia-lyase activity	77	Molecular Function
collagen binding	77	Molecular Function
cysteine-type endopeptidase activity	77	Molecular Function
oxo-acid-lyase activity	77	Molecular Function
ribulokinase activity	77	Molecular Function
S-formylglutathione hydrolase activity	77	Molecular Function
UDP-glycosyltransferase activity	77	Molecular Function
denitrification pathway	76	Biological Process
nitrate assimilation	76	Biological Process
sphingolipid metabolic process	76	Biological Process
protein-chromophore linkage	76	Biological Process
phenylacetate-CoA ligase activity	76	Molecular Function
nutrient reservoir activity	76	Molecular Function
L-phenylalanine degradation IV (mammalian, via side chain)	76	Metacyc
Penicillin G and penicillin V biosynthesis	76	Metacyc
Phenylacetate degradation II (anaerobic)	76	Metacyc
zinc ion transport	75	Biological Process
glycerol-3-phosphate O-acyltransferase activity	75	Molecular Function
uridylyltransferase activity	75	Molecular Function
4-hydroxy-2-oxovalerate aldolase activity	75	Molecular Function
ethanolamine transport	74	Biological Process
FtsZ-dependent cytokinesis	74	Biological Process
formate dehydrogenase complex	74	Cellular Component
2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase activity	74	Molecular Function
3-hydroxybutyrate dehydrogenase activity	74	Molecular Function
ethanolamine transmembrane transporter activity	74	Molecular Function
N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase activity	74	Molecular Function
NAD(P)+ transhydrogenase activity	74	Molecular Function
Alginate degradation	74	Metacyc
D-xylose transmembrane transport	73	Biological Process
ethanol oxidation	73	Biological Process
beta-phosphoglucomutase activity	73	Molecular Function
S-(hydroxymethyl)glutathione dehydrogenase activity	73	Molecular Function
uridine phosphorylase activity	73	Molecular Function
Kojibiose degradation	73	Metacyc
Protein S-nitrosylation and denitrosylation	73	Metacyc
Trehalose degradation III	73	Metacyc
arachidonic acid secretion	72	Biological Process
cAMP catabolic process	72	Biological Process
glycine betaine biosynthetic process from choline	72	Biological Process
phospholipid metabolic process	72	Biological Process
regulation of sporulation resulting in formation of a cellular spore	72	Biological Process
organelle inner membrane	72	Cellular Component
glucosylceramidase activity	72	Molecular Function
phospholipase A2 activity	72	Molecular Function
tRNA 2-selenouridine synthase activity	72	Molecular Function
catechol 1,2-dioxygenase activity	72	Molecular Function
S-methyl-5'-thioadenosine degradation III	72	Metacyc
capsule polysaccharide biosynthetic process	71	Biological Process
histidine metabolic process	71	Biological Process
calcium-dependent cysteine-type endopeptidase activity	71	Molecular Function
chitinase activity	71	Molecular Function
phosphoribulokinase activity	71	Molecular Function
precorrin-6A synthase (deacetylating) activity	71	Molecular Function
D-arabinono-1,4-lactone oxidase activity	71	Molecular Function
RUNX1 regulates estrogen receptor mediated transcription	71	Reactome
2'-deoxyribonucleotide metabolic process	70	Biological Process
chitin catabolic process	70	Biological Process
steroid biosynthetic process	70	Biological Process
2-dehydro-3-deoxygalactonokinase activity	70	Molecular Function
ornithine-oxo-acid transaminase activity	70	Molecular Function
oxidoreductase activity, acting on the CH-OH group of donors, quinone or similar compound as acceptor	70	Molecular Function
acyl-[acyl-carrier-protein] desaturase activity	70	Molecular Function
chloromuconate cycloisomerase activity	70	Molecular Function
muconate cycloisomerase activity	70	Molecular Function
Nicotinate degradation I	70	Metacyc
Nicotinate degradation II	70	Metacyc
Nicotine degradation II (pyrrolidine pathway)	70	Metacyc
Nicotine degradation III (VPP pathway)	70	Metacyc
Picolinate degradation	70	Metacyc
anaerobic electron transport chain	69	Biological Process
regulation of fatty acid metabolic process	69	Biological Process
ectoine biosynthetic process	69	Biological Process
host cell nucleus	69	Cellular Component
tripartite ATP-independent periplasmic transporter complex	69	Cellular Component
phosphoenolpyruvate carboxykinase (GTP) activity	69	Molecular Function
S-adenosylmethionine-dependent tRNA (m5U54) methyltransferase activity	69	Molecular Function
threonine synthase activity	69	Molecular Function
Glycogen storage disease type Ib (SLC37A4)	69	Reactome
hydrogen peroxide catabolic process	68	Biological Process
ornithine transport	68	Biological Process
purine ribonucleoside monophosphate biosynthetic process	68	Biological Process
putrescine transport	68	Biological Process
photosynthetic electron transport chain	68	Biological Process
3-beta-hydroxy-delta5-steroid dehydrogenase activity	68	Molecular Function
putrescine:ornithine antiporter activity	68	Molecular Function
sulfur compound binding	68	Molecular Function
trans-aconitate 2-methyltransferase activity	68	Molecular Function
Caffeine degradation III (bacteria, via demethylation)	68	Metacyc
Malonate degradation II (biotin-dependent)	68	Metacyc
Taurine biosynthesis I	68	Metacyc
Theophylline degradation	68	Metacyc
response to nickel cation	67	Biological Process
viral genome replication	67	Biological Process
peptidyl-dipeptidase activity	67	Molecular Function
thiaminase activity	67	Molecular Function
3-phytase activity	67	Molecular Function
Base-degraded thiamine salvage	67	Metacyc
D-galactarate degradation II	67	Metacyc
Metabolism of Angiotensinogen to Angiotensins	67	Reactome
cellular glucose homeostasis	66	Biological Process
Entner-Doudoroff pathway through 6-phosphogluconate	66	Biological Process
hexokinase activity	66	Molecular Function
phosphogluconate dehydratase activity	66	Molecular Function
phosphoglycerate dehydrogenase activity	66	Molecular Function
Smooth Muscle Contraction	66	Reactome
citrate transport	65	Biological Process
ATPase-coupled carbohydrate transmembrane transporter activity	65	Molecular Function
CDP-diacylglycerol diphosphatase activity	65	Molecular Function
citrate transmembrane transporter activity	65	Molecular Function
cystathionine beta-lyase activity	65	Molecular Function
indolepyruvate ferredoxin oxidoreductase activity	65	Molecular Function
sulfur carrier activity	65	Molecular Function
Aminopropanol phosphate biosynthesis I	65	Metacyc
Fatty acid beta-oxidation VII (yeast peroxisome)	65	Metacyc
heme metabolic process	64	Biological Process
lipopolysaccharide core region biosynthetic process	64	Biological Process
secondary metabolic process	64	Biological Process
galactose transmembrane transporter activity	64	Molecular Function
hydroperoxide reductase activity	64	Molecular Function
L-threonine 3-dehydrogenase activity	64	Molecular Function
lipopolysaccharide heptosyltransferase activity	64	Molecular Function
N-acylphosphatidylethanolamine-specific phospholipase D activity	64	Molecular Function
endopeptidase activity	64	Molecular Function
Aminopropanol phosphate biosynthesis II	64	Metacyc
Biosynthesis of A2E, implicated in retinal degradation	64	Reactome
RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function	64	Reactome
ergothioneine biosynthetic process	63	Biological Process
hexose transmembrane transport	63	Biological Process
methylamine metabolic process	63	Biological Process
extrachromosomal circular DNA	63	Cellular Component
rhamnose transmembrane transporter activity	63	Molecular Function
Ceramide and sphingolipid recycling and degradation (yeast)	63	Metacyc
Ceramide degradation (generic)	63	Metacyc
Ectoine degradation	63	Metacyc
Clathrin-mediated endocytosis	63	Reactome
beta-lactam antibiotic catabolic process	62	Biological Process
detoxification of arsenic-containing substance	62	Biological Process
sporulation	62	Biological Process
polyamine biosynthetic process	62	Biological Process
respiratory chain complex III	62	Cellular Component
ATPase-coupled arsenite transmembrane transporter activity	62	Molecular Function
sodium:proton antiporter activity	62	Molecular Function
